,year,formation_date,size_median,bm_30,bm_70,total_stocks,nyse_stocks,portfolio_sizes
0,1962,1962-06-01,82041000.0,0.265980106,0.7088352219999997,479,479,"{'SL': 90, 'SM': 106, 'SH': 44, 'BL': 54, 'BM': 85, 'BH': 100}"
1,1963,1963-06-01,121769374.99999999,0.36541293799999996,0.918653646,575,575,"{'SL': 122, 'SM': 112, 'SH': 54, 'BL': 51, 'BM': 117, 'BH': 119}"
2,1964,1964-06-01,173548288.58147672,0.34678043799999997,0.84054781,481,417,"{'SL': 109, 'SM': 91, 'SH': 68, 'BL': 42, 'BM': 89, 'BH': 82}"
3,1965,1965-06-01,177213514.28003162,0.371957438,0.886976514,475,408,"{'SL': 119, 'SM': 91, 'SH': 58, 'BL': 38, 'BM': 83, 'BH': 86}"
4,1966,1966-06-01,184955230.16356543,0.415351064,0.9632366979999999,541,449,"{'SL': 148, 'SM': 109, 'SH': 55, 'BL': 38, 'BM': 90, 'BH': 101}"
5,1967,1967-06-01,179776125.0,0.448323136,0.9896796729999997,708,554,"{'SL': 166, 'SM': 167, 'SH': 90, 'BL': 53, 'BM': 113, 'BH': 119}"
6,1968,1968-06-01,174722046.46673357,0.315695967,0.8269574229999999,1229,852,"{'SL': 295, 'SM': 307, 'SH': 190, 'BL': 88, 'BM': 165, 'BH': 184}"
7,1969,1969-06-01,160920375.0,0.435830492,1.0251705199999999,1395,940,"{'SL': 267, 'SM': 327, 'SH': 314, 'BL': 116, 'BM': 199, 'BH': 172}"
8,1970,1970-06-01,96472122.67794508,0.535605506,1.1649161999999995,1550,1017,"{'SL': 250, 'SM': 368, 'SH': 408, 'BL': 145, 'BM': 217, 'BH': 162}"
9,1971,1971-06-01,151200000.0,0.32011716599999995,0.8819987559999998,1741,1095,"{'SL': 357, 'SM': 433, 'SH': 381, 'BL': 138, 'BM': 220, 'BH': 212}"
10,1972,1972-06-01,142220250.0,0.27286930400000003,0.7739660719999999,1916,1177,"{'SL': 420, 'SM': 530, 'SH': 350, 'BL': 134, 'BM': 238, 'BH': 244}"
11,1973,1973-06-01,98795216.30608058,0.306012204,0.8541498259999999,2013,1238,"{'SL': 431, 'SM': 559, 'SH': 377, 'BL': 165, 'BM': 238, 'BH': 243}"
12,1974,1974-06-01,79447375.0,0.28048424,0.822282172,2918,1309,"{'SL': 653, 'SM': 852, 'SH': 617, 'BL': 188, 'BM': 283, 'BH': 325}"
13,1975,1975-06-01,98707500.0,0.23049002200000002,0.7038991319999999,3347,1337,"{'SL': 659, 'SM': 1050, 'SH': 844, 'BL': 214, 'BM': 300, 'BH': 280}"
14,1976,1976-06-01,117265400.90151617,0.36350605,0.8405857099999999,3420,1341,"{'SL': 691, 'SM': 980, 'SH': 958, 'BL': 285, 'BM': 320, 'BH': 186}"
15,1977,1977-06-01,140558125.0,0.24334625399999998,0.653145322,3387,1357,"{'SL': 609, 'SM': 978, 'SH': 1020, 'BL': 266, 'BM': 294, 'BH': 220}"
16,1978,1978-06-01,157682250.0,0.182842634,0.5506799719999996,3353,1379,"{'SL': 584, 'SM': 998, 'SH': 983, 'BL': 236, 'BM': 303, 'BH': 249}"
17,1979,1979-06-01,172955250.0,0.17067913399999998,0.529524968,3274,1369,"{'SL': 560, 'SM': 976, 'SH': 959, 'BL': 246, 'BM': 295, 'BH': 238}"
18,1980,1980-06-01,193653750.0,0.19489662,0.54495335,3218,1321,"{'SL': 596, 'SM': 924, 'SH': 946, 'BL': 228, 'BM': 283, 'BH': 241}"
19,1981,1981-06-01,241818250.0,0.21125273,0.602575802,3493,1343,"{'SL': 661, 'SM': 978, 'SH': 1071, 'BL': 218, 'BM': 291, 'BH': 274}"
20,1982,1982-06-01,194377375.0,0.248687952,0.6776478079999998,3592,1350,"{'SL': 674, 'SM': 947, 'SH': 1200, 'BL': 212, 'BM': 287, 'BH': 272}"
21,1983,1983-06-01,340248728.766459,0.23144539,0.612250015,3840,1338,"{'SL': 710, 'SM': 967, 'SH': 1385, 'BL': 216, 'BM': 288, 'BH': 274}"
22,1984,1984-06-01,308081875.0,0.194178374,0.6213081279999998,3853,1319,"{'SL': 626, 'SM': 1095, 'SH': 1369, 'BL': 222, 'BM': 284, 'BH': 257}"
23,1985,1985-06-01,370113875.0,0.211733092,0.7147770039999997,4069,1292,"{'SL': 627, 'SM': 1136, 'SH': 1531, 'BL': 232, 'BM': 283, 'BH': 260}"
24,1986,1986-06-01,458349743.0967895,0.186034549,0.6056067399999999,4051,1240,"{'SL': 690, 'SM': 1172, 'SH': 1404, 'BL': 235, 'BM': 273, 'BH': 277}"
25,1987,1987-06-01,514131375.0,0.261854765,0.7793957149999999,3989,1208,"{'SL': 791, 'SM': 1149, 'SH': 1307, 'BL': 198, 'BM': 266, 'BH': 278}"
26,1988,1988-06-01,469794000.0,0.34916253199999997,0.8647188079999999,4095,1193,"{'SL': 953, 'SM': 1132, 'SH': 1281, 'BL': 180, 'BM': 287, 'BH': 262}"
27,1989,1989-06-01,526088500.0,0.27909837200000004,0.8275924799999999,4192,1187,"{'SL': 931, 'SM': 1301, 'SH': 1241, 'BL': 196, 'BM': 254, 'BH': 269}"
28,1990,1990-06-01,514807750.0,0.30134355199999996,0.8442457659999999,4102,1162,"{'SL': 1004, 'SM': 1274, 'SH': 1108, 'BL': 188, 'BM': 256, 'BH': 272}"
29,1991,1991-06-01,522629625.0,0.363531142,0.9491031849999998,4080,1190,"{'SL': 1123, 'SM': 1179, 'SH': 1044, 'BL': 167, 'BM': 270, 'BH': 297}"
30,1992,1992-06-01,557559500.0,0.29761594199999997,0.8568191359999998,4034,1232,"{'SL': 914, 'SM': 1225, 'SH': 1129, 'BL': 195, 'BM': 279, 'BH': 292}"
31,1993,1993-06-01,680266125.0,0.39113227799999994,0.9649907619999999,4139,1289,"{'SL': 1025, 'SM': 1093, 'SH': 1225, 'BL': 180, 'BM': 298, 'BH': 318}"
32,1994,1994-06-01,658249875.0,0.445852046,1.0332887000000002,4430,1373,"{'SL': 1168, 'SM': 1162, 'SH': 1252, 'BL': 171, 'BM': 330, 'BH': 347}"
33,1995,1995-06-01,693449375.0,0.481972368,1.1430196799999999,5193,1435,"{'SL': 1571, 'SM': 1460, 'SH': 1224, 'BL': 200, 'BM': 320, 'BH': 418}"
34,1996,1996-06-01,807558625.0,0.39416244399999995,1.07798605,5386,1480,"{'SL': 1533, 'SM': 1655, 'SH': 1222, 'BL': 208, 'BM': 343, 'BH': 425}"
35,1997,1997-06-01,931554000.0,0.4841688,1.1774094,5491,1531,"{'SL': 1628, 'SM': 1497, 'SH': 1371, 'BL': 172, 'BM': 392, 'BH': 431}"
36,1998,1998-06-01,993029656.25,0.5680811259999999,1.26174898,5617,1518,"{'SL': 1746, 'SM': 1593, 'SH': 1263, 'BL': 189, 'BM': 392, 'BH': 434}"
37,1999,1999-06-01,873650250.0,0.7046085839999999,1.40846186,5270,1497,"{'SL': 1717, 'SM': 1478, 'SH': 1029, 'BL': 161, 'BM': 414, 'BH': 471}"
38,2000,2000-06-01,839501750.0,0.568526766,1.31816067,4940,1360,"{'SL': 1703, 'SM': 1316, 'SH': 843, 'BL': 158, 'BM': 403, 'BH': 517}"
39,2001,2001-06-01,1094552121.5782166,0.494304846,1.28448042,4813,1287,"{'SL': 1429, 'SM': 1289, 'SH': 1148, 'BL': 131, 'BM': 309, 'BH': 507}"
40,2002,2002-06-01,1175322269.2012787,0.5510617159999999,1.4181720799999997,4613,1229,"{'SL': 1630, 'SM': 1376, 'SH': 778, 'BL': 116, 'BM': 322, 'BH': 391}"
41,2003,2003-06-01,1154056024.3225098,0.558450412,1.41640554,4218,1207,"{'SL': 1461, 'SM': 1254, 'SH': 683, 'BL': 122, 'BM': 339, 'BH': 359}"
42,2004,2004-06-01,1594549571.147438,0.48652491499999995,1.275081,4055,1210,"{'SL': 1349, 'SM': 1304, 'SH': 576, 'BL': 144, 'BM': 323, 'BH': 359}"
43,2005,2005-06-01,1847408029.8614502,0.64092726,1.4448633,3951,1211,"{'SL': 1098, 'SM': 1282, 'SH': 784, 'BL': 153, 'BM': 285, 'BH': 349}"
44,2006,2006-06-01,2166943490.8981323,0.743376062,1.501112,3874,1169,"{'SL': 1089, 'SM': 1259, 'SH': 772, 'BL': 141, 'BM': 299, 'BH': 314}"
45,2007,2007-06-01,2540442398.132324,0.732239472,1.5422514,3739,1125,"{'SL': 1111, 'SM': 1189, 'SH': 713, 'BL': 130, 'BM': 278, 'BH': 318}"
46,2008,2008-06-01,1921235391.5405273,0.7774882599999999,1.5447101,3602,1076,"{'SL': 1111, 'SM': 1088, 'SH': 693, 'BL': 136, 'BM': 276, 'BH': 298}"
47,2009,2009-06-01,1306333937.4776914,0.670674036,1.5258096199999998,3479,1024,"{'SL': 1184, 'SM': 976, 'SH': 607, 'BL': 115, 'BM': 255, 'BH': 342}"
48,2010,2010-06-01,1600310154.5906067,0.41527876500000005,1.15300815,3323,1016,"{'SL': 881, 'SM': 1109, 'SH': 619, 'BL': 153, 'BM': 241, 'BH': 320}"
49,2011,2011-06-01,2188061003.505707,0.473502424,1.2632358,3195,1023,"{'SL': 922, 'SM': 959, 'SH': 606, 'BL': 131, 'BM': 249, 'BH': 328}"
50,2012,2012-06-01,1899738240.983963,0.4906873989999999,1.34928681,3134,1034,"{'SL': 883, 'SM': 921, 'SH': 603, 'BL': 140, 'BM': 254, 'BH': 333}"
51,2013,2013-06-01,2324254767.353058,0.44203994,1.26005335,2993,996,"{'SL': 830, 'SM': 871, 'SH': 589, 'BL': 133, 'BM': 238, 'BH': 332}"
52,2014,2014-06-01,2845635185.193284,0.491418241,1.3476507899999999,2926,1014,"{'SL': 891, 'SM': 780, 'SH': 537, 'BL': 150, 'BM': 248, 'BH': 320}"
53,2015,2015-06-01,2596055555.3836823,0.5513172279999999,1.46439172,2896,1008,"{'SL': 819, 'SM': 785, 'SH': 547, 'BL': 141, 'BM': 260, 'BH': 344}"
54,2016,2016-06-01,2142752890.4342651,0.542045334,1.56106522,2842,965,"{'SL': 757, 'SM': 821, 'SH': 533, 'BL': 144, 'BM': 273, 'BH': 314}"
55,2017,2017-06-01,2401641353.034973,0.52073027,1.4784380999999995,2725,917,"{'SL': 745, 'SM': 789, 'SH': 476, 'BL': 157, 'BM': 241, 'BH': 317}"
