,year,formation_date,size_median,bm_30,bm_70,total_stocks,nyse_stocks,portfolio_sizes,total_delistings
0,1962,1962-06-01,82041000.0,-0.62278174,0.09174153359999951,479,479,"{'SL': 34, 'SM': 96, 'SH': 110, 'BL': 110, 'BM': 95, 'BH': 34}",0
1,1963,1963-06-01,121769374.99999999,-0.876414876,-0.14820791600000013,575,575,"{'SL': 49, 'SM': 105, 'SH': 134, 'BL': 124, 'BM': 124, 'BH': 39}",0
2,1964,1964-06-01,173548288.58147672,-0.799643946,-0.11935513600000018,417,417,"{'SL': 54, 'SM': 87, 'SH': 127, 'BL': 89, 'BM': 92, 'BH': 32}",0
3,1965,1965-06-01,177213514.28003162,-0.85281498,-0.24270618100000013,408,408,"{'SL': 50, 'SM': 87, 'SH': 131, 'BL': 90, 'BM': 87, 'BH': 30}",0
4,1966,1966-06-01,184955230.16356543,-0.916374912,-0.298268908,449,449,"{'SL': 52, 'SM': 112, 'SH': 148, 'BL': 103, 'BM': 94, 'BH': 32}",0
5,1967,1967-06-01,179776125.0,-0.974698308,-0.403154234,554,554,"{'SL': 87, 'SM': 161, 'SH': 175, 'BL': 121, 'BM': 117, 'BH': 47}",0
6,1968,1968-06-01,174722046.46673357,-0.7976140960000001,-0.174631105,852,852,"{'SL': 176, 'SM': 279, 'SH': 337, 'BL': 189, 'BM': 177, 'BH': 71}",0
7,1969,1969-06-01,160920375.0,-1.01724195,-0.4027644220000004,940,940,"{'SL': 311, 'SM': 312, 'SH': 285, 'BL': 175, 'BM': 201, 'BH': 111}",0
8,1970,1970-06-01,96472122.67794508,-1.16222184,-0.5330452600000001,1017,1017,"{'SL': 407, 'SM': 363, 'SH': 256, 'BL': 163, 'BM': 218, 'BH': 143}",0
9,1971,1971-06-01,151200000.0,-0.862027284,-0.21613879200000008,1095,1095,"{'SL': 376, 'SM': 403, 'SH': 392, 'BL': 215, 'BM': 239, 'BH': 116}",0
10,1972,1972-06-01,142220250.0,-0.706900778,-0.08142144120000026,1177,1177,"{'SL': 324, 'SM': 452, 'SH': 524, 'BL': 260, 'BM': 257, 'BH': 99}",0
11,1973,1973-06-01,98795216.30608058,-0.820136562,-0.15302710700000002,1238,1238,"{'SL': 369, 'SM': 493, 'SH': 505, 'BL': 247, 'BM': 264, 'BH': 135}",0
12,1974,1974-06-01,79447375.0,-0.775830588,-0.11091858600000011,1309,1309,"{'SL': 594, 'SM': 738, 'SH': 790, 'BL': 333, 'BM': 304, 'BH': 159}",0
13,1975,1975-06-01,98707500.0,-0.33012067999999994,0.30960559399999993,1337,1337,"{'SL': 624, 'SM': 881, 'SH': 1048, 'BL': 385, 'BM': 293, 'BH': 116}",0
14,1976,1976-06-01,117265400.90151617,0.10607377,0.7176997699999997,1341,1341,"{'SL': 635, 'SM': 955, 'SH': 1039, 'BL': 364, 'BM': 316, 'BH': 111}",0
15,1977,1977-06-01,140558125.0,-0.20420903599999998,0.410473082,1357,1357,"{'SL': 616, 'SM': 842, 'SH': 1149, 'BL': 327, 'BM': 336, 'BH': 117}",0
16,1978,1978-06-01,157682250.0,-0.337235152,0.1910496119999999,1379,1379,"{'SL': 562, 'SM': 763, 'SH': 1240, 'BL': 338, 'BM': 342, 'BH': 108}",0
17,1979,1979-06-01,172955250.0,-0.26608804199999997,0.2156668579999999,1369,1369,"{'SL': 663, 'SM': 757, 'SH': 1075, 'BL': 299, 'BM': 340, 'BH': 140}",0
18,1980,1980-06-01,193653750.0,-0.29646903,0.24278212999999998,1321,1321,"{'SL': 729, 'SM': 786, 'SH': 951, 'BL': 301, 'BM': 305, 'BH': 146}",0
19,1981,1981-06-01,241818250.0,-0.37567082,0.233251662,1343,1343,"{'SL': 848, 'SM': 862, 'SH': 1000, 'BL': 333, 'BM': 300, 'BH': 150}",0
20,1982,1982-06-01,194377375.0,-0.528741884,0.212108075,1350,1350,"{'SL': 1017, 'SM': 877, 'SH': 927, 'BL': 303, 'BM': 291, 'BH': 177}",0
21,1983,1983-06-01,340248728.766459,-0.41122310300000003,0.249087149,1338,1338,"{'SL': 1257, 'SM': 936, 'SH': 869, 'BL': 309, 'BM': 302, 'BH': 167}",0
22,1984,1984-06-01,308081875.0,-0.48762516200000006,0.12704413799999995,1319,1319,"{'SL': 1221, 'SM': 893, 'SH': 976, 'BL': 285, 'BM': 304, 'BH': 174}",0
23,1985,1985-06-01,370113875.0,-0.686399625,-0.09082158010000002,1292,1292,"{'SL': 1510, 'SM': 995, 'SH': 789, 'BL': 265, 'BM': 284, 'BH': 226}",0
24,1986,1986-06-01,458349743.0967895,-0.56000699,-0.022699341600000013,1240,1240,"{'SL': 1350, 'SM': 1043, 'SH': 873, 'BL': 285, 'BM': 296, 'BH': 204}",0
25,1987,1987-06-01,514131375.0,-0.7571486390000001,-0.196985256,1208,1208,"{'SL': 1263, 'SM': 1008, 'SH': 976, 'BL': 284, 'BM': 282, 'BH': 176}",0
26,1988,1988-06-01,469794000.0,-0.8570435560000002,-0.295122476,1193,1193,"{'SL': 1244, 'SM': 1043, 'SH': 1079, 'BL': 269, 'BM': 293, 'BH': 167}",0
27,1989,1989-06-01,526088500.0,-0.79867778,-0.1967283440000001,1187,1187,"{'SL': 1194, 'SM': 1080, 'SH': 1199, 'BL': 274, 'BM': 272, 'BH': 173}",0
28,1990,1990-06-01,514807750.0,-0.823362511,-0.24629715100000005,1162,1162,"{'SL': 1052, 'SM': 1051, 'SH': 1283, 'BL': 278, 'BM': 266, 'BH': 172}",0
29,1991,1991-06-01,522629625.0,-0.9307442290000001,-0.322114805,1190,1190,"{'SL': 997, 'SM': 957, 'SH': 1392, 'BL': 303, 'BM': 278, 'BH': 153}",0
30,1992,1992-06-01,557559500.0,-0.7689956179999999,-0.13047070000000008,1232,1232,"{'SL': 956, 'SM': 947, 'SH': 1365, 'BL': 312, 'BM': 285, 'BH': 169}",0
31,1993,1993-06-01,680266125.0,-0.932397616,-0.30852604600000055,1289,1289,"{'SL': 1131, 'SM': 861, 'SH': 1351, 'BL': 327, 'BM': 316, 'BH': 153}",0
32,1994,1994-06-01,658249875.0,-1.01103664,-0.410701972,1373,1373,"{'SL': 1205, 'SM': 987, 'SH': 1390, 'BL': 355, 'BM': 345, 'BH': 148}",0
33,1995,1995-06-01,693449375.0,-1.13676654,-0.46450162800000017,1435,1435,"{'SL': 1216, 'SM': 1322, 'SH': 1717, 'BL': 419, 'BM': 329, 'BH': 190}",0
34,1996,1996-06-01,807558625.0,-1.07005626,-0.3597024140000001,1480,1480,"{'SL': 1209, 'SM': 1474, 'SH': 1727, 'BL': 428, 'BM': 354, 'BH': 194}",0
35,1997,1997-06-01,931554000.0,-1.1749347,-0.45525149,1531,1531,"{'SL': 1359, 'SM': 1389, 'SH': 1748, 'BL': 433, 'BM': 401, 'BH': 161}",0
36,1998,1998-06-01,993029656.25,-1.2569316,-0.5503980030000004,1518,1518,"{'SL': 1261, 'SM': 1511, 'SH': 1830, 'BL': 441, 'BM': 396, 'BH': 178}",0
37,1999,1999-06-01,873650250.0,-1.40307096,-0.687341986,1497,1497,"{'SL': 1030, 'SM': 1468, 'SH': 1726, 'BL': 473, 'BM': 418, 'BH': 155}",0
38,2000,2000-06-01,839501750.0,-1.30504899,-0.516847531,1360,1360,"{'SL': 828, 'SM': 1217, 'SH': 1817, 'BL': 525, 'BM': 408, 'BH': 145}",0
39,2001,2001-06-01,1094552121.5782166,-1.27236656,-0.37058578000000014,1287,1287,"{'SL': 1131, 'SM': 1247, 'SH': 1488, 'BL': 513, 'BM': 329, 'BH': 105}",0
40,2002,2002-06-01,1175322269.2012787,-1.37858452,-0.4455644620000003,1229,1229,"{'SL': 744, 'SM': 1172, 'SH': 1868, 'BL': 405, 'BM': 337, 'BH': 87}",0
41,2003,2003-06-01,1154056024.3225098,-1.40031402,-0.5152311300000002,1207,1207,"{'SL': 657, 'SM': 1113, 'SH': 1628, 'BL': 365, 'BM': 347, 'BH': 108}",0
42,2004,2004-06-01,1594549571.147438,-1.24533398,-0.394890031,1210,1210,"{'SL': 537, 'SM': 1185, 'SH': 1507, 'BL': 364, 'BM': 336, 'BH': 126}",0
43,2005,2005-06-01,1847408029.8614502,-1.4448633,-0.62814599,1211,1211,"{'SL': 780, 'SM': 1258, 'SH': 1126, 'BL': 349, 'BM': 291, 'BH': 147}",0
44,2006,2006-06-01,2166943490.8981323,-1.501112,-0.727440848,1169,1169,"{'SL': 770, 'SM': 1277, 'SH': 1073, 'BL': 314, 'BM': 298, 'BH': 142}",0
45,2007,2007-06-01,2540442398.132324,-1.5422514,-0.7322394720000003,1125,1125,"{'SL': 712, 'SM': 1175, 'SH': 1126, 'BL': 318, 'BM': 278, 'BH': 130}",0
46,2008,2008-06-01,1921235391.5405273,-1.5447101,-0.77226645,1076,1076,"{'SL': 691, 'SM': 1087, 'SH': 1114, 'BL': 298, 'BM': 277, 'BH': 135}",0
47,2009,2009-06-01,1306333937.4776914,-1.52276542,-0.646809335,1024,1024,"{'SL': 602, 'SM': 978, 'SH': 1187, 'BL': 344, 'BM': 256, 'BH': 112}",0
48,2010,2010-06-01,1600310154.5906067,-1.0561749,-0.141421775,1016,1016,"{'SL': 525, 'SM': 951, 'SH': 1133, 'BL': 344, 'BM': 252, 'BH': 118}",0
49,2011,2011-06-01,2188061003.505707,-1.2406668,-0.35309905,1023,1023,"{'SL': 586, 'SM': 826, 'SH': 1075, 'BL': 334, 'BM': 263, 'BH': 111}",0
50,2012,2012-06-01,1899738240.983963,-1.34641425,-0.4573488910000001,1034,1034,"{'SL': 594, 'SM': 806, 'SH': 1007, 'BL': 334, 'BM': 263, 'BH': 130}",0
51,2013,2013-06-01,2324254767.353058,-1.23761485,-0.33059336500000003,996,996,"{'SL': 545, 'SM': 768, 'SH': 977, 'BL': 337, 'BM': 238, 'BH': 128}",0
52,2014,2014-06-01,2845635185.193284,-1.3305987,-0.38364213300000005,1014,1014,"{'SL': 510, 'SM': 728, 'SH': 970, 'BL': 323, 'BM': 262, 'BH': 133}",0
53,2015,2015-06-01,2596055555.3836823,-1.4623313900000003,-0.509024537,1008,1008,"{'SL': 537, 'SM': 764, 'SH': 850, 'BL': 346, 'BM': 266, 'BH': 133}",0
54,2016,2016-06-01,2142752890.4342651,-1.55857382,-0.489487938,965,965,"{'SL': 519, 'SM': 811, 'SH': 781, 'BL': 316, 'BM': 283, 'BH': 132}",0
55,2017,2017-06-01,2401641353.034973,-1.4188006199999998,-0.37415262600000004,917,917,"{'SL': 469, 'SM': 797, 'SH': 744, 'BL': 332, 'BM': 273, 'BH': 110}",0
